id,cve,project_name,description,mistakes
137,CVE-2010-3248,chromium,"A bug was found in chrome which did not retrict javascript from copying to the
clipboard from any context ( anywhere you can run JavaScript). The person who found the vulnerability,
wrote an exploit that would hijack the clipboard and constantly set the clipboard to
a malicious url.

Here's how his exploit works. First, you start off by creating an invisible iframe element
in the background and turning the design-mode/content-editable on. This gives the iframe
access to the ""execCommand"" in JS, which has a ""copy"" function which copies the current
selected content to the clipboard. The attacker can take advantage of this by adding and setting
a text element inside the iframe to a malicious url and then calling the focus(), select()
and finally the execCommand()'s copy function to copy to the clipboard. In his exploit,
he used setTimeout() to make an infinite recursive call on a function which would copy
his malicious url to the clipboard every 500ms.

Here's a link to the custom exploit: https://bugs.chromium.org/p/chromium/issues/attachmentText?aid=118061
","This bug was not present in Opera or Firefox, so it was a reasonable assumption that
someone couldn't access the clipboard outside dedicated clipboard events. This is one
of those important but very obscure vulnerabilities that are hard to actively defend against.
The only way to prevent these kind of vulnerabilities, would to be paranoid about every feature
and have unit tests out the whazoo. While testing your code into the ground is a good way to
ensure it's safety, I'd say it wouldn't be economical ( or sane ) to write software like this.
"
398,CVE-2011-2850,chromium,"Khmer characters were causing an out of bound error when being read. This out of bound 
error was even being caused by a file made up of just one Khmer character. Khmer is not 
a technical for certain characters, Khmer is actually the official language of Cambodia.

An attack taking advantage of this vulnerability would have remote attackers utilizing unspecified vectors 
to upload Khmer characters that would cause an out of bound error leading to denial of service.

The issue itself cropped up in the library they were using from Harfbuzz. Harfbuzz is used to convert unicode text to glyphs.
","This seems like an issue that could have been caught earlier with improved testing. Harfbuzz itself 
contains tests against a list of languages, Khmer originally not being one of them. Additionally, while 
it was eventually caught by their fuzzer, it existed for almost a year before a person or the fuzzer 
caught this. With properly bounding unit tests they could have discovered the ease for OOB errors much 
earlier, especially when they can be caused by just a single character in Khmer or Tibetan.
"
1222,CVE-2016-1636,chromium,"The code that handled subresource integrity checks was flawed in that if a resource was requested from the same origin a second time, a second check wouldn't be run. Instead the code checked to see if a test had been run, and considered it a success regardless of the result of the integrity check. This completely bipassed the SRI protection mechanism, which is a chromium subsystem that handles checking the integrity of fetched resources","This entire issue stemmed from a minor oversight in the middle of a revamp of subresourceIntegrity code. Not a major design failing, it seems like the developer overlooked the actual result of the check, and assumed that if it had happened, everything was kosher. This was in the middle of fixing another issue that also involved checking the cache"
388,CVE-2011-2840,chromium,"This bug allowed remote attackers to spoof the URL bar via ""unusual user
interaction."" In other words, URL bar may be stolen if user clicking on
chrome interface. Such as, user navigating to the 'view download page'
will leave url bar, which is filled with information, may be spoofed
","This issue was a coding mistake because the browser originally had the
function to kill the pending page, but the if statement was looking for
too many conditions to call the dedicated function.
"
79,CVE-2010-1505,chromium,"When opening a new tab, one could take advantage of a race condition and
start loading a page in that tab before the new tab process (NTP) completed.  
This resulted in the newly-loaded tab sharing the privileges of the new tab page.  
This vulnerability was the underlying cause of another bug (Chromium bug 12718) 
which saw form submissions being submitted as a GET instead of a POST since the 
page was loaded in the new tab process.  With the privileges of the new tab process,
an attacker may have been able to execute a CSRF or similar attack taking advantage of
the side effects of these privileges (such as the change of form submissions from POST 
to GET).
","At the VCC and between the VCC and fix, there appears to have been extensive refactoring
with moving functionality to new directories.  This was done in batches of massive commits, which
likely made it more challenging to identify issues and vulnerabilities in the files involved.  This
could be classified as a mistake made in version control practices.

As for the vulnerability itself, the fixes are simple and seem appropriate, and the developers
had the foresight to practice defense in depth by adding an additional safety check after the initial
fix was made.  Overall, the only fix that needed to be made was an additional check for DOMUIScheme; the
vulnerability appears to have been a result of a simple coding mistake.  

One could argue that a greater design mistake is implied by this vulnerability since it occurred
due to a race condition.  The condition could potentially lead to further vulnerabilities in the future; however,
the fix did not address this overall issue but rather the specifics of this vulnerability.
"
898,CVE-2013-6649,chromium,"A use-after-free vulnerability in an SVG rendering function in the
Blink engine in Chromium was found through unit testing.

This vulnerability allows for remote attackers to possibly cause a denial of
service (e.g., crashing the program) or other exploits by using vectors of an
SVG image that is zero bytes in size.  If the Blink engine attempted to
render this image into a buffer, unstable behavior or remote code execution
could occur by referring to that address space (via a pointer).
","There was definitely an overlooking of basic validation.  This can be
attributed to the complex functions in the rendering code such as nested
if statements which make it hard sometimes to accurately place validation
conditions.  Checking for null/empty values is a must, especially in a
low-level language like C/C++ which is what Chromium is written in.  These
kinds of mistakes are commonly associated with use-after-free and buffer
overflows due to memory mismanagement.  It is interesting to note tests
were added, but none of them appear to directly check for zero-size images.

The code was also reviewed on that VCC commit, so reviewing procedures should
probably be revised, especially to review edge cases and validation in and
around the changed code.
"
925,CVE-2014-1713,chromium,"Memory addresses were continuing to be accessed after being freed. This could
allow remote attackers to cause a denial of service or other unknown impact.

This vulnerability was the result of misusing C's built-in pointers.
","This was a coding mistake made by not properly handling pointers. When the
author added their code, they failed to recognize that their code would
continue to access certain resources after being freed. One way to resolve
this is to dig through the code and figure out where resources are being used
after free. However, that can be very difficult and time consuming, the simple
solution was to switch over to C++'s smart pointers which automatically handle
these kinds of errors.
"
63,CVE-2010-0664,chromium,"Certain URLS will cause the browser to crash due to stack exhaustion. The
URLs are parsed recursively, so if there are too many nested protocols in
the URL the stack will run out of memory before it can completely parse it.
This causes a denial of service as the browser will crash, or an OOM (out
of memory) message is thrown.
","Personally I wouldn't have expected anyone to have to plan for this
particular vulnerability since it involved a url call to multiple
protocols, which would exhaust the system resources. I would expect people
to test calling multiple protocols, but I wouldn't expect them to call
them as many times as it did to exhaust the stack resources. From my
understanding it took several calls to different protocols to cause the
issue.
"
1107,CVE-2015-1274,chromium,"This vulnerability took advantage of Chrome's feature to automatically open
certain filetypes upon download. If a user at any point downloaded an
executable file and checked the box to automatically open this type of file
in the future, then any website could initiate a download of an executable
file and the browser would immediately execute it.
","This can be described as a requirements mistake. By the original
requirements, it was perfectly valid behavior for any filetype to be
treated as auto-openable. However, an unintended effect of this was that
executables were also candidates for auto-opening. After updating the
requirements, it is now no longer correct behavior for any executable
filetype to be allowed to auto-open.
"
1229,CVE-2016-1643,chromium,"A function in Google's Webkit in Blink (a web browser Google introduced in
2013) that was used to ensure a resource, called a shadow DOM (Document 
Object Model) was synchronized properly with the current content on the page 
the user would be looking at, did not properly update the model when content
changed or was unavailable.  The out of sync resource would allow remote 
attackers to cause a denial of service or possibly have unspecified other impact
through arbitrary code execution (hackers could craft their own code which the
program would run blindly).  This is because the function, when it crashes, 
gives the attacker semi-reliable control of the stack of the chrome system.
The stack is the set of instructions the program will run in order.  
Control of the stack means the user has control over what the program will 
execute next. The reason for using a resource like a shadow DOM is allow 
for a controllable boundary between the actual implementation of various items
like a slider, and the use of them. Rather than requiring users to code every last
piece of everything on webpages, shadow DOMs are used to give developers access
to elements that the implementers of the framework want you to have access to,
without exposing the framwork itself.  Think of a shadow DOM as a way for
framweork developers to let webpage developers work with complex pre-built 
items like various kinds of input sliders or video frames, without exposing
the code for how those reach into the framework itself, all the while allowing
the user to both utilize, customize, and stylize those elements.  The problem
that was encountered here for this vulnerability is that the shadow DOM was
not being properly refreshed. When source images weren't loaded (the
<img> tag being the html component that is actually a secret call to items
in the shadow DOM that do some magic reaching into the framework), the DOM
would suddenly have a refernce to items that were not actually on the current
page (memory gets allocated for an image, then the image is never actually
loaded, the DOM thinks there is an image but instead points to other mermory),
which exposed the system to hackers.
","This bug was introduced in one fell swoop after a large code rebase.  The team seemingly decided it was best to
utilize the shadow DOM (Document Object Model) to silently take care of loading images in the background.  This is
an interesting choice for the use of a shadow DOM because it would have to be maintained properly for it to not
start pointing to areas in memory that were not secure.  Unfortunately that is what happened here.  One user worked
on implementing utilizing a shadow DOM for the first time and did not account for when the shadow DOM itself was 
missing or out of sync.  It was seemingly an oversight on the part of the user, and also all the users that 
reviewed the changes.  The change impacted many files.  It seems that the decision to utilize the shadow DOM 
framework is still in use today.  So this commit introduced the newly accepted framework into the system, 
and the bug that accompanied it.  The mistake could have likely been avoided had the change been smaller and 
split up over more reviews.  Coding and reviewing fatigue are a real thing, and as stated before, this was likely 
just an oversight."
132,CVE-2010-3118,chromium,"Chrome is a web browser, and supports some autocomplete functionality when a
user is entering a URL into the search-box. The search-box performs URL searching
as well as searching on google.com, and is referred to as the 'Omnibox'.
The autosuggestion appears to be performed by sending a http call to a server
containing the text the user has currently typed, and requests for possible
completions of that text. This call is in http and an attacker could concievably
sniff this information and see what text or partial URL a user is viewing.

This vulnerability (CVE-2010-3118) focuses on the case where a user includes
their username and/or password in an https URL they enter into the search-box,
something akin to ""https://user:password@host"". This will be included in the
auto-complete request sent to the server over unsecure http.
","The initial issue seems to best fall under a Design Mistake. The autosuggest
feature did not initially perform any comprehensive checks to see if
autosuggestion was appropriate for the current URL.

A fix was submitted that covered many different cases where autosuggestion
would not be appropriate, but still allowed it in some cases where it was
not appropriate. This could be considered a requirements mistake as it
relied upon a poorly defined requirement.

Some of the comments in the issue tracker noted the different ways that
URLs could contain sensitive information, and many of them are small edge-cases
that relied upon still developing technology (HTTPS). New edge cases could
be introduced as the standard grows, and these edge cases will need to
be updated once more. This file was curated in 2018, but I am unsure if
more edge cases have been found since this vulnerability was resolved.
"
164,CVE-2010-4039,chromium,"In one of the startup scripts for the linux build wrapper for chrome, a line to
import libraries uses an environment variable. If this environment variable did
not exist, then it there would be a hanging "":"" left over. This causes the system
to use the current directory for libraries. If malicious libraries are placed in an 
attacker-controlled directory, an unsuspecting user could have those libraries 
loaded into their chrome instance when they start it.
","I don't think there were really any mistakes that led to this vulnerability.
Developers should be aware of variables and making sure that they are set before
using them, which is the cause of this vulnerability. However, the application
still runs as expected even if the environmnet variable is null. It takes close
inspection and thought to realize that an attacker could place malicious libraries
in the directory that chrome is being run from, and being a build script, developers
aren't usually as concerned about checking for security vulnerabilities, just about
making sure that the program will always be able to run given all environment conditons
-- and in this case, it does.
"
150,CVE-2010-3413,chromium,"The vulnerability is in the browser's built-in popup blocker functionality.
The blocker will sometimes attempt to read from an empty list of blocked
contents. This results in the blocker reading from a NULL pointer and causing
the browser to crash.

One big exploit that could arise from this vulnerability is a denial of
service (DoS) keeping the popup blocker from protecting the user's browser
from potentially harmful popups.
","The vulnerability arose because the popup blocker was not checking the value
of the list of blocked items before trying to access it. This caused it to
try and read from the list, even if it was NULL. Checking for situations
like these are vital to every secure program's operation, because these
checks keep it from malfunctioning and causing unintended, potentially
harmful, consequences.

This was a vulnerability that was coded in right from the beginning when the
popup blocker was made. It was discovered by a common user who reported the
problem to the developers. This vulnerability isn't reported to have caused
any serious damage to other users, but had it been discovered too late,
could have frustrated others in the future.
"
1024,CVE-2014-7936,chromium,"There is a ""use after free"" error within this vulnerability. A ""use after free""
is an attempt to access memory when it's already freed. This can cause the software
to crash, or potentially execute arbitrary code or elevate privileges to perform
other remote executions. In this specific vulnerability, the ZoomBubbleView::Close
function allows for document input (or other input) that can cause a denial of service
attack from malicious parties. In addition, they could potentially utilize the document
input in ways that can violate the integrity of the system in other ways, such as
running malicious scripts at lower levels of Chrome without the user knowing.
Due to the nature of ""use after free"" as well, we could potentially see a vulnerability
with elevation of privileges to change parts of the application that should not be malleable.
","I think this was another artifact of an earlier used piece of code. This is
a simple problem that just requires not using a depricated piece of code to
be fixed.
"
1027,CVE-2014-7939,chromium,"If Harmony Proxy (a specific JS Proxy) in Google's JavaScript Engine V8 is
enabled (disabled by default), it allows remote attackers to bypass the Same
Origin Policy via JavaScript code with Proxy.create and console.log calls.

The Same Origin Policy is an immensely important concept in web, it means that
a web page cannot access data from another web page unless they are of the same
origin -- calculated based off of URI scheme, host name, and port number.

This allows access to the victim's URL as a proxy, and potentially committing
information disclosure of user/victim data right to the attacker's own console.
","This vulnerability seemed to be a widespread problem involving MIME sniffing.
This issue with MIME sniffing rised up against other browsers as well, most
notably Firefox. In the bug report, the Google employees are specifically
referencing the mozilla bug report forum and their proposed solution. It's
really quite interesting to see collaboration between the two giant browsers.
The Chromium team debated with other options for the fix, but ultimately ended
up going with Firefox's proposed solution of locking down the window's
prototype chain.

The fix for this originally ended up being quite simple, by adding a nosniff
option in HTTP headers, but eventually the bug was re-opened and a new, more
complicated, solution needed to be found (mentioned above). It seems the HTTP
header option was merely a step in the correct direction (this is now
default in modern browsers).

As for the CWE entry, I found it very diffiuclt to pin down exactly which
broad CWE category this fits into. After much silent debate, I decided to
categorize it as XSS because ultimately, external JS code was being executed
that was not meant to be executed (even if it was via a proxy, aka not via
the site directly). It also directly relates to a violation of the Same
Origin Policy. Even though it's a bit strange, and therefore doesn't
necessarily have the mitigations recommended for broad XSS, there are some
that are still aparent. For example, I think the most applicable mitigation
is actually Strategy: Attack Surface Reduction. This basically involves
keeping in mind all potential areas where untrusted inputs are possible,
including things read from the network, URL components, external systems, etc.
This relates to the fact that the Chromium team had to think about a Harmony
Proxy as an area with untrusted input.
"
1051,CVE-2015-1217,chromium,"The V8LazyEventListener listens for javascript events for a given type of event.
This vulnerability occurred in the prepareListenerObject function of this listener
class, which is responsible for binding DOM event types to listener objects.
Essentially, the V8 engine needs bindings/wrappers to interact with WebKit, which
then in turn interacts more directly with DOM content in the Chromium app.

The vulnerability category is ""type confusion"", where a variable or object is
previously declared as one type but is accessed as another type.  This causes
problems in mainly C-like languages because they do not have memory safety that
will check if something like a pointer is trying to point to allocated memory
of another type.  In this case, JavaScript code is constructed, compiled, and
then ran, partially based on DOM element input (what the listener should listen for).
The result is then cast to a function, although it is not necessarily a function,
causing type confusion that could cause a crash in the program or another DoS of
sorts for a malicious actor.

This was fixed by removing testing assert statements and replacing them with conditional
checks for whether a context object is a document, whether it allows
inline event handlers, and whether the internal script that is ran
has a result that is a function.  This ensures objects are of the proper type and are
not null, which could make the above exploits possible.
","This is definitely a case of quick development of code between commits leading
up to the vulnerability.  This code was overlooked, perhaps due to miscommunication
since it appears a different person was involved with each step of introducing and
fixing this vulnerability.  More rigorous code reviews for common security standards
(especially pertaining to C and how these subsystems are typically implemented in
Chromium) could add up in the long run to have a more fortified application build
with fewer common, easy to check for errors.  Make sure everyone reviewing understands
what the code is trying to accomplish and if it does that (Validate and Verify).

The fix of checking for certain conditions before preceding to create the listener
object seems appropriate for this kind of vulnerability.  In the future, do not
rely too heavily on asserts for runtime in the production environment.  These should
be converted to actual checks and handling of errors and exceptions.
"
880,CVE-2013-6627,chromium,"An attack can access information beyond the length of a buffer storing HTTP
response headers by having web server use pecially crafted informational
HTTP response codes (1xx). These HTTP response codes are incorrectly processed
and are nott removed from the front of the buffer. Other parts of the code
always assumes that the current HTTP response being parsed is at the front of
the buffer and the incorrectly processed 1xx response code produces a length
longer than the buffer of the responses. The attacker can use this to read the
main process' memory and change its execution.
","The vulnerability appears to mainly stem from design mistakes. This is
evident because the code shows that the developers did not know that 1xx
HTTP response status codes are different from the other classes of status
codes. Also, the developers made a lot of assumptions without considering
whether the code written actually fit their assumptions.

The vulnerability shows miscommunication issues regarding the
assumptions made (which influence which fix option was used). There also
seems to be little communication between people on the team. I believe this
based on the defensiveness in the bug thread and the fact that a developer
moved around code without knowing how that code actually works.

Overall, it appears that while the vulnerability was caused by a relatively
small number of lines of code, the vulnerability was merely the symptom of
larger issues including design mistakes, assumptions, and miscommunications.
"
1348,CVE-2016-5173,chromium,"In a regular webpage using Chromium and standard JavaScript, a remote attacker
is able to modify and add functionality to JavaScript's core Object.prototype,
the default prototype that all JS objects inherit properties and methods from.

Modifying Object.prototype is normally not an issue, but Chromium's extensions
subsystem also adds functionality to the Object prototype and does not restrict
access to it. This is a concern because Chromium's extensions subsystem has access
to lots of resources not intended to be invoked or loaded in to a client webpage.
An attacker's webpage (or otherwise executed JavaScript) can exploit this by
loading in additional Chromium extensions resources allowing them to do things
such as modifying what happens when objects are garbage-collected, executing
native functions that typically require user interaction without their
interaction, and otherwise calling native functions with attacker-controlled data.
","The mistake here was a design mistake. The developers used a standard
JavaScript implementation of directly binding properties to an object
prototype and so the vulnerability wasn't obvious. The main concern comes
from the fact that this code is in Chromium's extensions subsystem and has
access to many internal never-to-be-exposed resources and native functions.
JavaScript at its core is notoriously lax and doesn't do any kind of access
control by default on modifying object prototypes. As a result, an attacker
in this scenario is able to simply modify the base ""Object.prototype"" to
add their own functionality and carry out their exploit. The main takeaway
from all of this is to expect attackers to abuse the tools you give them.
Accounting for this and understanding more about how JavaScript works is
key to preventing something like this from happening again in the future.
In this case they solved this in all 50 files with better design, by
extracting out a new function to do the required property binding safely
instead of directly adding them to the Object prototype.
"
885,CVE-2013-6634,chromium,"An incorrect URL was used during user authentication in the Gaia subsystem. When a
user would login to some web application with credentials that were saved in Chrome,
the 302 response recieved from the web app was not properly validated. When attempting
to redirect a user following authentication, Chrome decides whether to follow
the given url based on the information given to it.

The conditional logic that would decide whether the redirect url should be followed
was flawed, not referencing the correct url from the object in question. This
enabled remote attackers to conduct session fixation attacks and hijack web
sessions by triggering improper sync after a 302 HTTP status code.

This vulnerability was present in the master branch of chromium's source
from around October 9, 2012 until a bug report was opened over a year later on
October 14, 2013. A fix was merged on November 21, 2013- more than another month later.
","At its core, CVE-2013-6634 was caused by a simple coding mistake. The programmer who
implemented the VCC accessed the wrong member of an object, therefor passing the wrong
value into a function call that was to approve or dissaprove the traversal of a 302
redirect. This could have been mitigatted with more testing- especially the use of a
code coverage tool could have identified the need for testing when a conditional like
this should resolve to true.

There do not appear to be tests in place to catch a regression of this issue. While
it's unlikely a regression would happen in this location in the code, a refactor of the
request object might be useful to prevent future similar errors.
"
396,CVE-2011-2848,chromium,"Forward button and backward button on a browser help user navigate to the previous
and the next page in the history easier. However, in some cases, after user goes
forward manually, opens and closes a new tab, the URL bar is spoofed.

The problem lies in the way Google Chrome updates icons and URL bar everytime
user commits a page. The SSL/EV icon in URL bar should only be changed after
navigation has committed, but Chrome changes it when the browser starts navigating
forward/backward, this means the icon changes even the actual URL may not be 
comletely loaded. The URL bar then doesn't reflect the page that it's loaded to user.
User could be redirected to a non-SSL site or a phishing site and still think they
are safe because the URL bar and SSL icons are good.
","I think this vulnerability is more of a design mistake, the developer 
clearly didn't come up with an ""ideal behavior"" for handling URL bar as well
as a complete test plan for user interactions. The actual fix and unit test for this 
vulnerability were quite simple. 
"
46,CVE-2010-0643,chromium,"Google Chrome before version 4.0.249.89 defaulted to a direct connection when
there were no proxies available which was different from how other web
browsers handled this issue. Other browsers such as Firefox and IE (Internet
Explorer) would display an error page if there were no available proxies.

Why is this an issue? When you have a direct connection remote HTTP servers
(the website you visit) can see your IP address, user agent information, and
cookies stored on your personal computer. This is a serious vulnerability
because with direct connections you lose the anonymity that proxies provide.
An attacker could exploit this vulnerability to obtain sensitive information
about the identity of the user.
","The mistake that led to this vulnerability was a design problem. Unlike, other browsers it was set up to use a direct connection when there were no proxies available. The main reason this was a problem because it exposed the user identity which could be used for malicious purposes. The system should have been designed to prevent a direct connection from being used without the user's knowledge. However, the design specification did not acknowledge that requirement.

The CWE entry I chose was Information exposure through sent data. With a direct connection, the user's sensitive data may be exposed to attackers. To mitigate this weakness you should define what data in the software is sensitive. This mitigation happens in the requirements phase to support the design. However, this is where the requirement was missed and evolved into a vulnerability.
"
1086,CVE-2015-1253,chromium,"Scripting was allowed during DOM tree parsing. As a result, an attacker could infect remote browsers
with malicious code via them visiting a website with malicious javascript files. Once the file was a
loaded into the browser upong page load a script tag could then beexecuted while the browser was accessing the HTML parsing
tree. Executing javascript during this process is generally unstable and bypassed cross-origin security policy, which
serve as a protection mechanism for a variety of other types of attacks.
","This vulnerability was very obscure and probably could not have been forseen except by seasoned, security-minded engineers. That being said, a lack of understanding and attention to the lifecylce of DOM parsing was probably the root cause that lead to the initial VCC. Paying attention to the vital points in code where the system becomes subject to script execution is key to preventing these types of vulnerabilities in the future."
17,CVE-2009-1413,chromium,"This is a vulnerability in Chrome 1.0.x where Chrome does not cancel timeout
functions when switching tabs, which makes it possible to execute universal
cross site scripting by using Javascript's setTimeout function to run code on 
a new page after the site has loaded.
","The biggest mistake was not killing timeout functions created on one page 
when navigating to another page. This is ultimately what allowed for the 
UXSS style attack to occur. The fix was that the problem protocol
was already on its way to deprecation for other reasons, to stop processing
ChromeHTML protocol in IE URIs. If the ChromeHTML protocol was not to be 
deprecated, a different solution would be needed.
"
1447,CVE-2017-5082,chromium,"Insufficient hardening in credit card editor. FLAG_SECURE is not used within
Chrome on Android when putting in prefilled credit card numbers. This would
allow another application on the same device to see the screen and capture
the numbers. By comparison Android Pay and Android Wallet use FLAG_SECURE for
credit card entry.
",
