"id","cve","project_name","description","mistakes","tag_list__id","tag_list__tag"
"","","","","","156","subsystem-chromium-http_network_transaction"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1269","CVE-2016-1682","chromium","Checks to verify the content security policy (CSP) of a request were missing\nfrom a function that registers service workers. This allowed attackers to\nbypass CSP and register service workers even if they shouldn't have been\nable to.\n","It seems as though the developer just didn't think to check for CSP\nbefore registering the service workers. The fix was simply adding an if\nstatement before registration to check the CSP, so the mistake made by the\noriginal developer was just forgetting to make that check.\n","1","lifetime-30d"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","96","internal"
"","","","","","100","language-cpp"
"","","","","","101","language-js"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1560","CVE-2006-3747","httpd","This was a vulnerability that affected people who used Apache HTTPD versions 1.3 from 1.3.28 and 2.0.46.\nThis vulnerability allowed malicious users to perform remote attacks that cause denial of service or random code executions. This vulnerability makes use of a off-by-one error which is when data being added to a stack overwrites an extra bit. This situation was only able to happen when certain functions of the rewrite module was used with Lightweight Directory Access Protocol (LDAP) urls. The rewrite module is capable of manipulating urls so that requests from one url can be sent to another url.\nWhen data overflows past its intended boundaries, it allows for the next section of code in the stack to execute or it could even crash the whole program.","It seems like the fault was in the code. The fix was a simple change by decreasing a variable in an if statement by 1. Considering that the change was a simple fix of just editing one line of code, the cause was likely due to accidently overlooking a size limit when the code was made. Vulnerabilities that have to do with size boundaries are easily overlooked which is why I think additional boundary checking should have been done. Boundary tests should always check for extreme cases like maximum inputs.","6","lifetime-2y5y"
"","","","","","15","cwe-189"
"","","","","","84","cvss-av-n"
"","","","","","391","cvss-ac-h"
"","","","","","86","cvss-au-n"
"","","","","","389","cvss-c-c"
"","","","","","390","cvss-i-c"
"","","","","","386","cvss-a-c"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","99","language-c"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","421","subsystem-httpd-c-modules"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"394","CVE-2011-2845","chromium","An attacker can use this vulnerability to spoof the value in the URL bar. This means the victim could be rerouted to a different website, but still see their intended address in their URL bar.  This only occurred when navigating to a different area of the same page, known as a page fragment.","The mistake here was that there wasn't proper communication between the NavigationController and the Renderer.  Since the NavigationController needs to communicate with the HistoryController to figure out where to go when the user presses the back button, this allowed time for a race condition to form that confused the NavigationController into allowing stale entries.","7","lifetime-5y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","116","big-fix"
"","","","","","116","big-fix"
"","","","","","117","small-fix"
"","","","","","185","subsystem-chromium-navigationcontroller-renderview"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1091","CVE-2015-1257","chromium","The graphics module used by the Chromium engine contained a bug in the FEColorMatrix.cpp file that was caused by the lack of a check for the amount of values in a matrix passed to the createColorFilter method. Specifically, if this method was passed a empty vector object it would cause a crash. This bug was proven to at least cause a denial of service and also had the potential to have a worse impact through a crafted document.","What ultimately led to this bug were assumptions made in the design stages. If the developers had put less trust in the surrounding code they could have avoided this vulnerability all together.","6","lifetime-2y5y"
"","","","","","8","bounty"
"","","","","","14","cwe-119"
"","","","","","94","discover-automated"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","116","big-fix"
"","","","","","117","small-fix"
"","","","","","222","subsystem-chromium-blink-svg"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"951","CVE-2014-1741","chromium","There are a couple cases in lower level code that handles rendering characters where an offset was not handled in a overflow-sensitive manner. This might have had unspecified impacts via vectors related to ranges or open up to DoS attacks.","This is another example of a minor coding mistake overlooked in a huge commit. The offending code subtracts an offset without accounting for a possible overflow, which is only a minor part of a major rewrite of the subsystem to fix another bug. The fix accounts for this, and handles it in a way that's consisitant with the DOM spec","7","lifetime-5y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","96","internal"
"","","","","","100","language-cpp"
"","","","","","108","native-wrappers"
"","","","","","116","big-fix"
"","","","","","117","small-fix"
"","","","","","247","subsystem-chromium-webkit-layouts"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"","","","","","360","refactors"
"1437","CVE-2017-5071","chromium","Out of bounds read in V8.\n","null","357","project-chromium"
"190","CVE-2010-4494","chromium","There is a double free vulnerability in libxml2 2.7.8 and other version as used in gogole chrome before 8.0.552.215.\nThe vulnerability allows one to pop an XPath object off the stack, and since the object won't be null, it can be popped again.\nDouble free vulnerability is a common memory corruption error when developers free the same memory location twice by calling free() on the same\n allocated memory. \n\n This vulnerability may allows remote attackers to cause a denial of service or possibly have unspecified other impact relate to the Xpath in this case.\n","Double free vulnerability is a common memory corruption error if the developers don't write a proper check case before they free memory\nIn this case, it seems like a developer simply forgot or was not aware of this. It can also be very hard to catch, as the chromium code base in incredibly large, and can not be easily combed through.\nI believe that the vulnerability was fixed correctly, as they understood the complete problem and fixed it properly. \n","94","discover-automated"
"","","","","","97","external"
"","","","","","99","language-c"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","158","subsystem-chromium-xml-xpath"
"","","","","","342","escaped"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1362","CVE-2017-15390","chromium","Embargoed. URL Spoofing in Omnibox.\n","null","11","cwe-20"
"","","","","","357","project-chromium"
"1075","CVE-2015-1241","chromium","On mobile, click events were able to fire outside of the scope that they were created in. This can be exploited through the use of tapjacking. Tapjacking is the concept that an attacker can listen for taps with a screen overlay, and can sniff any data that is being passed to an underlying application. This can even include credit card data or passwords. In the case of this specific vulnerability, the trigger page will redirect to the victim page (under ideal circumstances), and events can be fired across domain boundaries. This would give attackers access to input single clicks to perform simple tasks. Like buying something, or posting something. Anythig with a single button.\n","This seems most like a requirements mistake. The commit that introduced the vulnerability seemed to have introduced it carelessly without knowing the consequences of what they changed. Proper requirements could have cleared up the misunderstanding. It could have been a miscommunication. It's puzzling why it was introduced. It seems like it was just changed for seemingly no reason, just to be changed back once it caused an issue. It'd be interesting to know what was going through the original developers heads. Maybe there is something more to the story here. Requirements that could have been added to prevent this could be something as verbose as Taps must execute only where they belong, and must not go outside of their scope. This could have helped eliminate this issue, as it doesn't make sense for Taps to travel between subsystems and to separate web pages.","3","lifetime-90d180d"
"","","","","","8","bounty"
"","","","","","11","cwe-20"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","102","language-java"
"","","","","","105","defense"
"","","","","","274","subsystem-chromium-input"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"350","CVE-2011-2786","chromium","\nThe pop-up screen for speech-input-bubble in google chrome can be moved out of the \nscreen. Google Chrome fails to ensure that the screen is shown on the product's screen. \nThis might make it easier for the remote attackers to make audio recordings via a crafted\nweb page containing an INPUT element. \n\nWeb page can start speech recognition whenever user clicks anything on web page. \nThe problem is that Chromium relies on a popup showing that recognition is started. \nThat popup can be moved to be outside the screen. With the use of this ability, the \nattacker could use this  as a platform for phising attacks. For instance, if the attacker \ncan cause the UI to display erroneous data, or to otherwise convince the user to \ndisplay information that appears to come from a trusted source, then the attacker\ncould trick the user into performing the wrong action. Hence, causing the source,\nthe original window - to be obscured or spoofed. \n","This really seems to be a mix of requirements and a design issue, the engineers \nclearly didn't think about enough cases and requirements on the ability of the \nspeech-input-bubble whether it could be dragged outside the window. The did not have \na complete test plan. The actual fix wasn't that complicated and involved just adding\nmore checks. ","4","lifetime-180d1y"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","116","big-fix"
"","","","","","179","subsystem-chromium-speech"
"","","","","","343","lacked-test"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1108","CVE-2015-1274","chromium","This vulnerability took advantage of Chrome's feature to automatically open\ncertain filetypes upon download. If a user at any point downloaded an\nexecutable file and checked the box to automatically open this type of file\nin the future, then any website could initiate a download of an executable\nfile and the browser would immediately execute it.\n","This can be described as a requirements mistake. By the original\nrequirements, it was perfectly valid behavior for any filetype to be\ntreated as auto-openable. However, an unintended effect of this was that\nexecutables were also candidates for auto-opening. After updating the\nrequirements, it is now no longer correct behavior for any executable\nfiletype to be allowed to auto-open.\n","8","bounty"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","113","secure-by-default"
"","","","","","116","big-fix"
"","","","","","283","subsystem-chromium-download_commands"
"","","","","","343","lacked-test"
"","","","","","344","untested"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"858","CVE-2013-2914","chromium","In the color chooser dialog on Chrome before 30.0.1599.66, \nthe listener in ColorChooserDialog did not properly dereference when the \ncolor chooser dialog was destroyed because of a page destruction (page \nclose). This led to a stale reference that attackers could use to cause\ndenial-of-service.\n","The coding mistake was a pretty simple one. The original author simply did\nnot kill the reference when the page was closed (destroyed). This is essentially\na XSS vulnerability; through this stale reference, attackers can cause \ndenial-of-service or attack using vectors through this reference.\n\nThe vulnerability was introduced in the initial commit, and was only exposed\nafter Chrome tried to initially make Aura, an obsolete client meant to provide\nnotifications and notification details in a client outside of Chrome. The \noriginal author must have forgotten he needed to destroy the reference so it\ncouldn't be used, or he didn't notice that he was leaving a stale reference.\n\nFor this color chooser dialog, this vulnerability could have been prevented,\nbut it's an easy thing to overlook. Next time, I'm sure the author will make\nsure something like this won't happen again.\n","5","lifetime-1y2y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","96","internal"
"","","","","","100","language-cpp"
"","","","","","109","distrust-input"
"","","","","","146","subsystem-chromium-ui"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1128","CVE-2015-1295","chromium","When opening a PDF file into chromium, the client would pause for the few seconds and give a message. Upon hitting OK or escape, chromium would crash. This was due to the program not handling ICP correctly.","The vulnerability seemed to be caused by a lack of managing input. Because the file didnt' correctly handle nested ICP people were potentially able to cause crashes by printing out messages. The vulnerability alone was already causing issues alone just by a user loading up a specific file. In short, always make sure your design is able to handle any potential input it may recieve.\n","1","lifetime-30d"
"","","","","","8","bounty"
"","","","","","11","cwe-20"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","109","distrust-input"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1284","CVE-2016-1697","chromium","Attackers were able to create javascript code that would escape from a html\nspecific html element known as an iframe, allowing them access a different \npage from an untrusted origin and execute javascript code on the target page.\n","This vulnerability was primarily the result of an oversight in the product\ndesign. Nobody considered how frame navigations could be used to exploit\na weakess in this product. On top of this, since frame navigations were\nnot a necessary function at this point of the execution, a good design\nchoice would have been to have them disabled by default. \nThe suggested mitigation for this type of cross site scripting is minimize\nthe attack surface. Disabling frame navigatons while detatching a frame\ncompletely cuts out the portion of the attack surface that is exploited\nby this vulnerability. The fix completely mitigates this exploit, since \nframe navigations cannot be exploited if they are entirely disabled. \nThis change, however, was only applied to one part of the code. It may be\nworthwhile to review other similar areas of the attack surface and determine\nwhether security by default can be applied to these areas of the code to \nprevent similar exploits from happening in the future.\n","4","lifetime-180d1y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","113","secure-by-default"
"","","","","","261","subsystem-chromium-webkit-blink"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"946","CVE-2014-1733","chromium","The bug was in Chromium's Sandbox in the way they detected and merge two blocks of code via PointerCompare and\nTailMerge.\n\nWhen executing a compare and a merge, the code does not properly account for the ""next"" pointer (the\nnext lines of code to execute after the blocks have finished executing) if the two blocks are not JMP (jump) or RET\n(return) instructions.\n\nThis creates an edge case where two blocks of code could be identical except that their 'next' pointer is\ndifferent, but the two blocks get merged anyways. This merge can introduce a cycle into the program and\ncan cause crashes during compilation. Worst case scenario, this can lead to illegal system calls via an attached\nBPF program.\n","The biggest mistake made in causing this vulnerability is that the developer in question did not think of all the\nedge cases. As the developer did not think that they would need to compare the 'next' blocks of code to be\nexecuted, it created this edge case where the code allowed an illegal merge because it did not look deeply enough.\nI would argue that this is a coding mistake, although this could have been caught at multiple levels. Better\nrequirements, testing, or design would have potentially caught this issue, but it ultimately fell through to the\ndeveloper to ensure that the case was accounted for, which they failed to do.\n","5","lifetime-1y2y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","114","yagni"
"","","","","","115","complex-inputs"
"","","","","","116","big-fix"
"","","","","","245","subsystem-chromium-linux-sandbox"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"176","CVE-2010-4205","chromium","The vulnerability was in Google Chrome where they did not check the data type\nof an event object returned from a page click.\n\nThe implementation, which was done in C++, didn't properly check if the event\nobject it got back was a mouse event before executing it.  This could result\nin a crash or other unexpected events.\n\nThe way this could be exploited would be if an attacker found out about this\nvulnerability and used it to purposely crash the site.  This could prevent\nother people from accessing the site, also known as denial of service.\n","The vulnerability was a simple oversight where the programmer expected to always get\na mouse event object and did not put a conditional in to make sure that it was one.\n\nEven though it is reasonable to expect to always get a mouse event from a mouse click,\nit is always good to distrust input and checking the input provides defense in depth\nagainst an attacker who purposely injects a different type of object into the function.\n\nThe fix was simply adding a conditional and looks proper for this specific vulnerability,\nbut the developers should keep in mind to always check a returned value's type in other\ncases. Also, writing tests with different types of objects as inputs could help prevent\nfuture similar vulnerabilities in the future.\n","2","lifetime-3mo"
"","","","","","8","bounty"
"","","","","","42","cwe-252"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","139","subsystem-chromium-renderer"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1494","CVE-2017-5130","chromium","Embargoed. Heap overflow in libxml2.\n","null","43","cwe-787"
"","","","","","357","project-chromium"
"576","CVE-2011-3961","chromium","Race condition in Google Chrome allows remote attackers to execute arbitrary\ncode via vectors that triggers a crash of the utility process.\n\nThere seemed to be 4 clents that could have lead to the crash of the utility process;\nIndexedDB, WebstoreInstallerHelper, the profile importer, and posix plugin loader.\n\nBefore the fix, it seemed the race condition was caused by the ""utility_process_host_""\nvariable becoming NULL and then not being appropiately dealt with. Though I am uncertain, \nit seems once this variable was NULL, calls on it that required it to be defined would \nnot work, causing a bunch of calls to be thrown off. \n\nI am unsure how an attacker would cause the ""utility_process_host_"" to become NULL.\n","The coding mistake that was made was not locking certain sections of code\nthat multiple threads talked to. That what allowed a race condition to\nhappen. The fix was to see check to see if a specific variable existed,\nwhich I assumed was a thread. In this case though, it seems like if a thread\nalready existed, it would execute code. This either stops the previous\nthread from continuing, or it is stoping the new thread from taking over the\noriginal thread accessing the data.\n\nLooking further, the specific thread that was crashing was the main utility\nprocess for google chrome. It seems when certain variables were set to NULL, \nthen the process does not know how to handle it, and it either treats the\ncondition as a crash protocol, or crashed because it could handle the certain\nstatements as being NULL.\n","5","lifetime-1y2y"
"","","","","","8","bounty"
"","","","","","23","cwe-362"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","116","big-fix"
"","","","","","202","subsystem-chromium-in_process_webkit"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1831","CVE-2018-1336","tomcat","Use of supplementary characters, such as those found on certain international keyboards, \ncan lead to overflow causing an infinite loop. This then causes denial of service.\n","This was an implementation mistake. CWE-153 says that all characters should\nbe manipulated to ""ensure only valid, expected and appropriate input is \nprocessed by the system"". The fix looks proper, it looks like rather than\nmanaging characters they are managing the overflow caused by the characters.\nI would say this falls under the ""expected"" portion of the mitigation advice.\n","7","lifetime-5y"
"","","","","","440","cwe-153"
"","","","","","102","language-java"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","481","project-tomcat"
"1854","CVE-2014-7809","struts","Due to an ineffective random number generator, observing a previous authentication\ntoken allows for attackers to predict the next authentication token to effectively\nbypass the cross-site request forgery protections.\n","I would classify this issue as a simple coding mistake. The developers\nlikely went with a non-cryptographically secure random number generator\nout of habit or perhaps they just didn't realize the potential risk associated\nwith using a normal pseudorandom number generator. I also think that the fix was\nproper, this was a simple issue and a simple fix was used.\n","7","lifetime-5y"
"","","","","","488","cwe-342"
"","","","","","102","language-java"
"","","","","","107","optional-frameworks"
"","","","","","113","secure-by-default"
"","","","","","117","small-fix"
"","","","","","511","subsystem-struts-web-authentication"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","523","project-struts"
"1045","CVE-2015-1210","chromium","When an exception is thrown in the DOM, the exception object is\ncreated by inheriting from the object the method is called on, even if it comes\nfrom a different origin. The created object does not conduct any checks on\nwhether it is supposed to be allowed access to said origin, exposing them to\npotential attackers.\n","This was a case in code, as this was a small hole that was easily\nremedied without any serious structural overhaul. The fixer ended up creating\na fix on what is essentially the ""server-side"" in this scenario (this is a\nbrowser vulnerability so not exactly the same typical scenario), by modifying\nthe ThrowException class in order to apply the fix in other potential exploit\nscenarios\n","5","lifetime-1y2y"
"","","","","","8","bounty"
"","","","","","12","cwe-79"
"","","","","","100","language-cpp"
"","","","","","106","least-privilege"
"","","","","","117","small-fix"
"","","","","","218","subsystem-chromium-blink"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1573","CVE-2008-0456","httpd","If HTTPD is serving static files, and those static files have extraneous CRLFs,\nthey can inject headers into the HTTP response. Redhat says this isn't an issue\nsince you shouldn't have nasty files in the first place.\nIt also seems like HTTPD actually errors out (it gives either a 406 or 300),\nso this vulnerability can't modify seemingly fine responses, just cause errors.\n","Mainly lack of review and automated testing. Need smaller commits that are reviewed better.","5","lifetime-1y2y"
"","","","","","13","cwe-94"
"","","","","","84","cvss-av-n"
"","","","","","391","cvss-ac-h"
"","","","","","86","cvss-au-n"
"","","","","","88","cvss-i-p"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","99","language-c"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","416","subsystem-httpd-mod_negotiation"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"1366","CVE-2017-15394","chromium","Embargoed. URL spoofing in extensions UI.\n","null","11","cwe-20"
"","","","","","357","project-chromium"
"1552","CVE-2005-1268","httpd","The vulnerability was in http's processing of certificate revocation lists in\ndebugging mode in its SSL module (mod_ssl).\n\nThe problem is that mod_ssl allocates a buffer of N bytes, and then tells\nBIO_Read that it can read N bytes of text into the buffer. BIO_Read returns a\ncount of how many bytes it read, and the function uses that count to append a\nNULL character to the end of the text. However, that returned value can be up\nto N, which when used as an index is the n+1th index, more than the buffer can\nhold. This could lead to memory corruption, or even a segmentation fault that\nwould bring down httpd.\n\nBefore the vulnerability-contributing commit (VCC) the buffer allocated for\nreading was of size N+1, but BIO_Read was told it could only read up to N\nbytes, thus there was always space for the null terminator.\n\nSome background, certificate revocation lists are used to revoke a\ncertificate in case its private key has been compromised, or the keys used to\nsign it.\n","The mistake was a simple coding mistake made during a cleanup, the entire\nportion of ssl_callback_SSLVerify_CRL that performs debug printing was\nrewritten, and the developer forgot to account for the null terminator when\nallocating size for the buffer and for when they copied the data into it.\n\nThe CWE entry only gives one mitigation, to use the correct size when\ncopying data, which is what the fix did.\n","6","lifetime-2y5y"
"","","","","","27","cwe-193"
"","","","","","84","cvss-av-n"
"","","","","","85","cvss-ac-l"
"","","","","","86","cvss-au-n"
"","","","","","89","cvss-a-p"
"","","","","","99","language-c"
"","","","","","117","small-fix"
"","","","","","428","subsystem-httpd-mod_ssl"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"1883","CVE-2017-9804","struts","This vulnerability is due to the uncomplete fix of CVE-2017-7672. A crafted\nURL can overload the server process when validated using URLValidator. See\nCVE-2017-7672 for more information. This vulnerability is also similar to\nCVE-2016-8738. Apache Struts versions 2.3.7 to 2.3.33 and 2.5 to 2.5.12 are\naffected.\n","I believe the biggest lesson you can learn from this vulnerability is make\nsure your unit testing is complete. While complete coverage of every possible\ninput is impossible, testing should cover as much as possible. Before the fix,\nno unit tests covered potential cases for DoS. Another lesson that can be\nlearned is be careful with regex. While regex can be exremely powerful, make\nsure you know exactly what it does. This can be difficult if it becomes too long,\nlike in the case of URLValidator.\n","6","lifetime-2y5y"
"","","","","","16","cwe-399"
"","","","","","102","language-java"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","497","subsystem-struts-validator"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","523","project-struts"
"1558","CVE-2005-3352","httpd","This a vulnerability that can be exploited by an attacker using cross-site scripting.\nThe imagemap processing module can cause the referer header to be output without being\nescaped in HTML. An attacker who is able to influence the referer header will be able\nto use cross-site scripting to attack.\n","This vulnerability seems to be a result of design mistakes and a lack of maintainability.\nThey didn't consider this scenario when they were designing the project at all. The fix\nfor this problem isn't applicable to all aspects of the project so I would say that the \nmaintainability is fairly low as well.\n\nCWE-80 is ""Basic XSS."" It is when the software does correctly neutralize special characters.\nThis is the case here. The referer header is being escaped in the HTML because the special \ncharacters were not being handled correctly. The mitigation for this is checking each input.\nAll data in the request, including hidden fields, cookies, headers, the URL itself, and so \nforth must all be checked. In this particular situation they just added a conditional.\n\nThe vulnerabilities fix does not seem very maintainable. The patch doesn't apply everwhere. \nIf the software is not understood, repairable or enhanceable it can't be considered maintainable.\nThe fact that the patch can't be applied everywhere implies that the software isn't understood\nor repairable. \n\nOverall it seems like the fix was effective. Even though it doesn't apply everywhere they know\nthat they can just remove the referer where it doesn't apply. It seems like the solution is not \nideal but it is working so it's alright. \n  \n","371","cwe-80"
"","","","","","84","cvss-av-n"
"","","","","","385","cvss-ac-m"
"","","","","","86","cvss-au-n"
"","","","","","88","cvss-i-p"
"","","","","","94","discover-automated"
"","","","","","96","internal"
"","","","","","99","language-c"
"","","","","","110","obscurity"
"","","","","","116","big-fix"
"","","","","","117","small-fix"
"","","","","","117","small-fix"
"","","","","","423","subsystem-httpd-src-modules-standard-mod_imap-c"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"1493","CVE-2017-5129","chromium","Embargoed. Use after free in WebAudio.\n","null","26","cwe-416"
"","","","","","357","project-chromium"
"932","CVE-2014-1719","chromium","A vulnerability was found that allowed for already used memory to be used again in the Web workers API implementation. The\nvulnerability allowed remote attackers to cause attacks that could bring down the system as well\nas possibly have inputs that trigger a termination of shared web workers during script loading.\n","The mistake came from a coding flaw and caused what would be a denial of service\nattack as well as other potential errors. This could have been avoided by knowing\nwhere the function should have properly been placed. Moving the position of one \nof the lines of code is what made the fix. \nThere may have been a potential for the vulnerability to have been fixed during \nthe design phase of the module. During the code review is when it seemed like the \ndiscussion was sparked regarding the correct placement of this line. If the discussion\nwas brought up during implementation or if the implications of the placement of the \nline of code were known it could have been mitigated. \n","6","lifetime-2y5y"
