id,name,shortname,description,color,icon,short_desc
111,CWE-19: Data Processing Errors,cwe-19,"""Weaknesses in this category are typically found in functionality that processes data."" - For more infomration visit https://cwe.mitre.org/data/definitions/19.html
",#99ccff,tag,"""Weaknesses in this category are typically found in functionality that processes data."" - For more infomration visit https://cwe.mitre.org/data/definitions/19.html
..."
19,CWE-200: Information Exposure,cwe-200,"""An information exposure is the intentional or unintentional disclosure of information to an actor that is not explicitly authorized to have access to that information."" - For more infomration visit https://cwe.mitre.org/data/definitions/200.html
",#99ccff,tag,"""An information exposure is the intentional or unintentional disclosure of information to an actor that is not explicitly authorized to have access to that information."" - For more infomration visit https://cwe.mitre.org/data/definitions/2..."
18,CWE-201: Information Exposure Through Sent Data,cwe-201,"""The accidental exposure of sensitive information through sent data refers to the transmission of data which are either sensitive in and of itself or useful in the further exploitation of the system through standard data channels."" - For more infomration visit https://cwe.mitre.org/data/definitions/201.html
",#99ccff,tag,"""The accidental exposure of sensitive information through sent data refers to the transmission of data which are either sensitive in and of itself or useful in the further exploitation of the system through standard data channels."" - For m..."
84,CWE-203: Information Exposure Through Discrepancy,cwe-203,"""The product behaves differently or sends different responses in a way that exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not."" - For more infomration visit https://cwe.mitre.org/data/definitions/203.html
",#99ccff,tag,"""The product behaves differently or sends different responses in a way that exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not."" - For more infomration visit h..."
383,CWE-209: Information Exposure Through an Error Message,cwe-209,"""The software generates an error message that includes sensitive information about its environment, users, or associated data."" - For more infomration visit https://cwe.mitre.org/data/definitions/209.html
",#99ccff,tag,"""The software generates an error message that includes sensitive information about its environment, users, or associated data."" - For more infomration visit https://cwe.mitre.org/data/definitions/209.html
..."
20,CWE-20: Improper Input Validation,cwe-20,"""The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program."" - For more infomration visit https://cwe.mitre.org/data/definitions/20.html
",#99ccff,tag,"""The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program."" - For more infomration visit https://cwe.mitre.org/data/definitions/20.html
..."
461,CWE-212: Improper Cross-boundary Removal of Sensitive Data,cwe-212,"""The software uses a resource that contains sensitive data, but it does not properly remove that data before it stores, transfers, or shares the resource with actors in another control sphere."" - For more infomration visit https://cwe.mitre.org/data/definitions/212.html
",#99ccff,tag,"""The software uses a resource that contains sensitive data, but it does not properly remove that data before it stores, transfers, or shares the resource with actors in another control sphere."" - For more infomration visit https://cwe.mitr..."
36,CWE-228: Improper Handling of Syntactically Invalid Structure,cwe-228,"""The product does not handle or incorrectly handles input that is not syntactically well-formed with respect to the associated specification."" - For more infomration visit https://cwe.mitre.org/data/definitions/228.html
",#99ccff,tag,"""The product does not handle or incorrectly handles input that is not syntactically well-formed with respect to the associated specification."" - For more infomration visit https://cwe.mitre.org/data/definitions/228.html
..."
108,CWE-229: Improper Handling of Values,cwe-229,"""The software does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined."" - For more infomration visit https://cwe.mitre.org/data/definitions/229.html
",#99ccff,tag,"""The software does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined."" - For more infomration visit https://cwe.mitre.org/data/definitions..."
24,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),cwe-22,"""The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."" - For more infomration visit https://cwe.mitre.org/data/definitions/22.html
",#99ccff,tag,"""The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the ..."
455,CWE-235: Improper Handling of Extra Parameters,cwe-235,"""The software does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount."" - For more infomration visit https://cwe.mitre.org/data/definitions/235.html
",#99ccff,tag,"""The software does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount."" - For more infomration visit https://cwe.mitre.org/data/definitions/235.html
..."
457,CWE-239: Failure to Handle Incomplete Element,cwe-239,"""The software does not properly handle when a particular element is not completely specified."" - For more infomration visit https://cwe.mitre.org/data/definitions/239.html
",#99ccff,tag,"""The software does not properly handle when a particular element is not completely specified."" - For more infomration visit https://cwe.mitre.org/data/definitions/239.html
..."
103,CWE-23: Relative Path Traversal,cwe-23,"""The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as .. that can resolve to a location that is outside of that directory."" - For more infomration visit https://cwe.mitre.org/data/definitions/23.html
",#99ccff,tag,"""The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as .. that can resolve to a location that is outside of that directory."" - For more ..."
105,CWE-248: Uncaught Exception,cwe-248,"""An exception is thrown from a function, but it is not caught."" - For more infomration visit https://cwe.mitre.org/data/definitions/248.html
",#99ccff,tag,"""An exception is thrown from a function, but it is not caught."" - For more infomration visit https://cwe.mitre.org/data/definitions/248.html
..."
40,CWE-252: Unchecked Return Value,cwe-252,"""The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."" - For more infomration visit https://cwe.mitre.org/data/definitions/252.html
",#99ccff,tag,"""The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."" - For more infomration visit https://cwe.mitre.org/data/definitions/252.html
..."
107,CWE-254: 7PK - Security Features,cwe-254,"""Software security is not security software. Here we're concerned with topics like authentication, access control, confidentiality, cryptography, and privilege management."" - For more infomration visit https://cwe.mitre.org/data/definitions/254.html
",#99ccff,tag,"""Software security is not security software. Here we're concerned with topics like authentication, access control, confidentiality, cryptography, and privilege management."" - For more infomration visit https://cwe.mitre.org/data/definition..."
42,"CWE-264: Permissions, Privileges, and Access Controls",cwe-264,"""Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."" - For more infomration visit https://cwe.mitre.org/data/definitions/264.html
",#99ccff,tag,"""Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."" - For more infomration visit https://cwe.mitre.org/data/definitions/264.html
..."
68,CWE-265: Privilege / Sandbox Issues,cwe-265,"""Weaknesses in this category occur with improper enforcement of sandbox environments, or the improper handling, assignment, or management of privileges."" - For more infomration visit https://cwe.mitre.org/data/definitions/265.html
",#99ccff,tag,"""Weaknesses in this category occur with improper enforcement of sandbox environments, or the improper handling, assignment, or management of privileges."" - For more infomration visit https://cwe.mitre.org/data/definitions/265.html
..."
452,CWE-266: Incorrect Privilege Assignment,cwe-266,"""A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor."" - For more infomration visit https://cwe.mitre.org/data/definitions/266.html
",#99ccff,tag,"""A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor."" - For more infomration visit https://cwe.mitre.org/data/definitions/266.html
..."
52,CWE-267: Privilege Defined With Unsafe Actions,cwe-267,"""A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity."" - For more infomration visit https://cwe.mitre.org/data/definitions/267.html
",#99ccff,tag,"""A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity."" - For more infomration visit https://cwe.mitre.org/data/definitions/267.html..."
458,CWE-269: Improper Privilege Management,cwe-269,"""The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor."" - For more infomration visit https://cwe.mitre.org/data/definitions/269.html
",#99ccff,tag,"""The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor."" - For more infomration visit https://cwe.mitre.org/data/definitions/269.html
..."
32,CWE-279: Incorrect Execution-Assigned Permissions,cwe-279,"""While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user."" - For more infomration visit https://cwe.mitre.org/data/definitions/279.html
",#99ccff,tag,"""While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user."" - For more infomration visit https://cwe.mitre.org/data/definitions/279.html
..."
26,CWE-284: Improper Access Control,cwe-284,"""The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor."" - For more infomration visit https://cwe.mitre.org/data/definitions/284.html
",#99ccff,tag,"""The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor."" - For more infomration visit https://cwe.mitre.org/data/definitions/284.html
..."
16,CWE-287: Improper Authentication,cwe-287,"""When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."" - For more infomration visit https://cwe.mitre.org/data/definitions/287.html
",#99ccff,tag,"""When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."" - For more infomration visit https://cwe.mitre.org/data/definitions/287.html
..."
113,CWE-290: Authentication Bypass by Spoofing,cwe-290,"""This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks."" - For more infomration visit https://cwe.mitre.org/data/definitions/290.html
",#99ccff,tag,"""This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks."" - For more infomration visit https://cwe.mitre.org/data/definitions/290.html
..."
454,CWE-294: Authentication Bypass by Capture-replay,cwe-294,"""A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes)."" - For more infomration visit https://cwe.mitre.org/data/definitions/294.html
",#99ccff,tag,"""A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (o..."
73,CWE-295: Improper Certificate Validation,cwe-295,"""The software does not validate, or incorrectly validates, a certificate."" - For more infomration visit https://cwe.mitre.org/data/definitions/295.html
",#99ccff,tag,"""The software does not validate, or incorrectly validates, a certificate."" - For more infomration visit https://cwe.mitre.org/data/definitions/295.html
..."
58,CWE-297: Improper Validation of Certificate with Host Mismatch,cwe-297,"""The software communicates with a host that provides a certificate, but the software does not properly ensure that the certificate is actually associated with that host."" - For more infomration visit https://cwe.mitre.org/data/definitions/297.html
",#99ccff,tag,"""The software communicates with a host that provides a certificate, but the software does not properly ensure that the certificate is actually associated with that host."" - For more infomration visit https://cwe.mitre.org/data/definitions/..."
460,CWE-300: Channel Accessible by Non-Endpoint ('Man-in-the-Middle'),cwe-300,"""The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint."" - For more infomration visit https://cwe.mitre.org/data/definitions/300.html
",#99ccff,tag,"""The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor t..."
396,CWE-303: Incorrect Implementation of Authentication Algorithm,cwe-303,"""The requirements for the software dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect."" - For more infomration visit https://cwe.mitre.org/data/definitions/303.html
",#99ccff,tag,"""The requirements for the software dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect."" - For more infomration visit https://cwe.mitre.org/data/definitions/303.html
..."
388,CWE-305: Authentication Bypass by Primary Weakness,cwe-305,"""The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error."" - For more infomration visit https://cwe.mitre.org/data/definitions/305.html
",#99ccff,tag,"""The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error."" - For more infomration visit https://cwe.mitre.org/data/definitions/30..."
64,CWE-310: Cryptographic Issues,cwe-310,"""Weaknesses in this category are related to the use of cryptography."" - For more infomration visit https://cwe.mitre.org/data/definitions/310.html
",#99ccff,tag,"""Weaknesses in this category are related to the use of cryptography."" - For more infomration visit https://cwe.mitre.org/data/definitions/310.html
..."
96,CWE-330: Use of Insufficiently Random Values,cwe-330,"""The software may use insufficiently random numbers or values in a security context that depends on unpredictable numbers."" - For more infomration visit https://cwe.mitre.org/data/definitions/330.html
",#99ccff,tag,"""The software may use insufficiently random numbers or values in a security context that depends on unpredictable numbers."" - For more infomration visit https://cwe.mitre.org/data/definitions/330.html
..."
495,CWE-342: Predictable Exact Value from Previous Values,cwe-342,"""An exact value or random number can be precisely predicted by observing previous values."" - For more infomration visit https://cwe.mitre.org/data/definitions/342.html
",#99ccff,tag,"""An exact value or random number can be precisely predicted by observing previous values."" - For more infomration visit https://cwe.mitre.org/data/definitions/342.html
..."
95,CWE-345: Insufficient Verification of Data Authenticity,cwe-345,"""The software does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data."" - For more infomration visit https://cwe.mitre.org/data/definitions/345.html
",#99ccff,tag,"""The software does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data."" - For more infomration visit https://cwe.mitre.org/data/definitions/345.html
..."
62,CWE-346: Origin Validation Error,cwe-346,"""The software does not properly verify that the source of data or communication is valid."" - For more infomration visit https://cwe.mitre.org/data/definitions/346.html
",#99ccff,tag,"""The software does not properly verify that the source of data or communication is valid."" - For more infomration visit https://cwe.mitre.org/data/definitions/346.html
..."
75,CWE-347: Improper Verification of Cryptographic Signature,cwe-347,"""The software does not verify, or incorrectly verifies, the cryptographic signature for data."" - For more infomration visit https://cwe.mitre.org/data/definitions/347.html
",#99ccff,tag,"""The software does not verify, or incorrectly verifies, the cryptographic signature for data."" - For more infomration visit https://cwe.mitre.org/data/definitions/347.html
..."
74,CWE-352: Cross-Site Request Forgery (CSRF),cwe-352,"""The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request."" - For more infomration visit https://cwe.mitre.org/data/definitions/352.html
",#99ccff,tag,"""The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request."" - For more infomration visit https://cwe.mitre.org/data/defi..."
88,CWE-357: Insufficient UI Warning of Dangerous Operations,cwe-357,"""The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention."" - For more infomration visit https://cwe.mitre.org/data/definitions/357.html
",#99ccff,tag,"""The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention."" - For more infomration visit https://cwe.mitre.org/data/definitions/357.html
..."
70,CWE-358: Improperly Implemented Security Check for Standard,cwe-358,"""The software does not implement or incorrectly implements one or more security-relevant checks as specified by the design of a standardized algorithm, protocol, or technique."" - For more infomration visit https://cwe.mitre.org/data/definitions/358.html
",#99ccff,tag,"""The software does not implement or incorrectly implements one or more security-relevant checks as specified by the design of a standardized algorithm, protocol, or technique."" - For more infomration visit https://cwe.mitre.org/data/defini..."
80,CWE-359: Exposure of Private Information ('Privacy Violation'),cwe-359,"""The software does not properly prevent private data (such as credit card numbers) from being accessed by actors who either (1) are not explicitly authorized to access the data or (2) do not have the implicit consent of the people to which the data is related."" - For more infomration visit https://cwe.mitre.org/data/definitions/359.html
",#99ccff,tag,"""The software does not properly prevent private data (such as credit card numbers) from being accessed by actors who either (1) are not explicitly authorized to access the data or (2) do not have the implicit consent of the people to which..."
38,CWE-361: 7PK - Time and State,cwe-361,"""This category represents one of the phyla in the Seven Pernicious Kingdoms vulnerability classification. It includes weaknesses related to the improper management of time and state in an environment that supports simultaneous or near-simultaneous computation by multiple systems, processes, or threads. According to the authors of the Seven Pernicious Kingdoms, ""Distributed computation is about time and state. That is, in order for more than one component to communicate, state must be shared, and all that takes time. Most programmers anthropomorphize their work. They think about one thread of control carrying out the entire program in the same way they would if they had to do the job themselves. Modern computers, however, switch between tasks very quickly, and in multi-core, multi-CPU, or distributed systems, two events may take place at exactly the same time. Defects rush to fill the gap between the programmer's model of how a program executes and what happens in reality. These defects are related to unexpected interactions between threads, processes, time, and information. These interactions happen through shared state: semaphores, variables, the file system, and, basically, anything that can store information."""" - For more infomration visit https://cwe.mitre.org/data/definitions/361.html
",#99ccff,tag,"""This category represents one of the phyla in the Seven Pernicious Kingdoms vulnerability classification. It includes weaknesses related to the improper management of time and state in an environment that supports simultaneous or near-simu..."
25,CWE-362: Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),cwe-362,"""The program contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently."" - For more infomration visit https://cwe.mitre.org/data/definitions/362.html
",#99ccff,tag,"""The program contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by an..."
112,CWE-363: Race Condition Enabling Link Following,cwe-363,"""The software checks the status of a file or directory before accessing it, which produces a race condition in which the file can be replaced with a link before the access is performed, causing the software to access the wrong file."" - For more infomration visit https://cwe.mitre.org/data/definitions/363.html
",#99ccff,tag,"""The software checks the status of a file or directory before accessing it, which produces a race condition in which the file can be replaced with a link before the access is performed, causing the software to access the wrong file."" - For..."
92,CWE-364: Signal Handler Race Condition,cwe-364,"""The software uses a signal handler that introduces a race condition."" - For more infomration visit https://cwe.mitre.org/data/definitions/364.html
",#99ccff,tag,"""The software uses a signal handler that introduces a race condition."" - For more infomration visit https://cwe.mitre.org/data/definitions/364.html
..."
446,CWE-366: Race Condition within a Thread,cwe-366,"""If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined."" - For more infomration visit https://cwe.mitre.org/data/definitions/366.html
",#99ccff,tag,"""If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined."" - For more infomration visit https://cwe.mitre.org/data/de..."
