id,cve,announced,upvotes,nickname,project_name,subdomain,tag_json/0/id,tag_json/0/importance,tag_json/1/id,tag_json/1/importance,tag_json/2/id,tag_json/2/importance,tag_json/3/id,tag_json/3/importance,tag_json/4/id,tag_json/4/importance,tag_json/5/id,tag_json/5/importance,tag_json/6/id,tag_json/6/importance,tag_json/7/id,tag_json/7/importance,tag_json/8/id,tag_json/8/importance,tag_json/9/id,tag_json/9/importance,tag_json/10/id,tag_json/10/importance,tag_json/11/id,tag_json/11/importance,tag_json/12/id,tag_json/12/importance,tag_json/13/id,tag_json/13/importance,short_desc,tag_json/14/id,tag_json/14/importance,tag_json/15/id,tag_json/15/importance,tag_json/16/id,tag_json/16/importance,tag_json/17/id,tag_json/17/importance,tag_json/18/id,tag_json/18/importance,tag_json/19/id,tag_json/19/importance,tag_json/20/id,tag_json/20/importance
1229,CVE-2016-1643,2016-03-13T00:00:00.000Z,12,,Chromium,chromium,101,1,8,0.75,139,0.5,372,0.35,124,0.27,127,0.27,154,0,378,0,,,,,,,,,,,,,"A function in Google's Webkit in Blink (a web browser Google introduced in
2013) that was used to ensure a resource, called a shadow DOM (Document 
Object Model) was synchronized properly with the current content on the page 
the user would be looking at, did not properly update the model when content
changed or was unavailable",,,,,,,,,,,,,,
164,CVE-2010-4039,2010-10-21T19:00:04.927Z,12,,Chromium,chromium,5,2.02653244088445,39,1,142,0.5,139,0.5,147,0.45,147,0.45,373,0.35,125,0.27,127,0.27,375,0.25,378,0,180,0,,,,,"In one of the startup scripts for the linux build wrapper for chrome, a line to
import libraries uses an environment variable",,,,,,,,,,,,,,
1024,CVE-2014-7936,2015-01-22T22:59:17.460Z,11,,Chromium,chromium,6,2.10678066985173,15,1,8,0.75,147,0.45,372,0.35,374,0.35,127,0.27,124,0.27,375,0.25,378,0,293,0,130,0,380,0,,,"There is a ""use after free"" error within this vulnerability",,,,,,,,,,,,,,
150,CVE-2010-3413,2010-08-24T00:00:00.000Z,11,,Chromium,chromium,33,1,143,0.5,147,0.45,373,0.35,125,0.27,127,0.27,380,0,130,0,378,0,,,,,,,,,,,"The vulnerability is in the browser's built-in popup blocker functionality.
The blocker will sometimes attempt to read from an empty list of blocked
contents",,,,,,,,,,,,,,
1051,CVE-2015-1217,2015-03-09T00:59:09.387Z,10,,Chromium,chromium,7,2.20174564116252,83,1,8,0.75,144,0.5,139,0.5,372,0.35,374,0.35,124,0.27,127,0.27,375,0.25,130,0,378,0,181,0,380,0,"The V8LazyEventListener listens for javascript events for a given type of event.
This vulnerability occurred in the prepareListenerObject function of this listener
class, which is responsible for binding DOM event types to listener objects.
Essentially, the V8 engine needs bindings/wrappers to interact with WebKit, which
then in turn interacts more directly with DOM content in the Chromium app.

The vulnerability category is ""type confusion"", where a variable or object is
previously declared as one type but is accessed as another type",,,,,,,,,,,,,,
1054,CVE-2015-1220,2015-03-09T00:59:13.327Z,10,,Chromium,chromium,5,2.08109257109269,85,1,8,0.75,143,0.5,139,0.5,146,0.45,374,0.35,373,0.35,127,0.27,125,0.27,375,0.25,378,0,130,0,248,0,"In Google Chrome, there were multiple occasions where after a memory location is freed,
the location is then attempted to be used again",380,0,,,,,,,,,,,,
1839,CVE-2013-1965,2013-05-22T00:00:00.000Z,10,OGNL Injection through Double-evaluation,Struts,struts,6,2.1417035854745,496,1,143,0.5,135,0.5,139,0.5,372,0.35,125,0.27,375,0.25,377,0.25,528,0,380,0,132,0,515,0,,,The vulnerability was in the XWork core library of Struts 2,,,,,,,,,,,,,,
396,CVE-2011-2848,2011-09-19T12:02:55.997Z,10,,Chromium,chromium,6,2.13913198479816,17,1,135,0.5,374,0.35,372,0.35,127,0.27,124,0.27,377,0.25,8,0.25,375,0.25,130,0,378,0,216,0,380,0,"Forward button and backward button on a browser help user navigate to the previous
and the next page in the history easier",,,,,,,,,,,,,,
1447,CVE-2017-5082,2017-05-11T00:00:00.000Z,10,,Chromium,chromium,378,0,380,0,381,0,132,0,,,,,,,,,,,,,,,,,,,,,Insufficient hardening in credit card editor,,,,,,,,,,,,,,
722,CVE-2012-5152,2013-01-15T21:55:01.633Z,10,,Chromium,chromium,4,1.97857153915929,15,1,146,0.45,374,0.35,125,0.27,126,0.27,375,0.25,235,0,380,0,378,0,130,0,,,,,,,"Extra memory was allocated if the playback rate of a video was higher 
than normal and the skip feature was used(think youtube).
The C++ language allows for direct references to memory even 
if that reference is outside of the intended buffer.
The extra memory could be used for out-of-bounds read access",,,,,,,,,,,,,,
1027,CVE-2014-7939,2015-01-22T22:59:20.117Z,10,,Chromium,chromium,5,2.0767553609688,12,1,139,0.5,135,0.5,147,0.45,146,0.45,372,0.35,374,0.35,126,0.27,125,0.27,375,0.25,8,0.25,382,0,380,0,"If Harmony Proxy (a specific JS Proxy) in Google's JavaScript Engine V8 is
enabled (disabled by default), it allows remote attackers to bypass the Same
Origin Policy via JavaScript code with Proxy.create and console.log calls.

The Same Origin Policy is an immensely important concept in web, it means that
a web page cannot access data from another web page unless they are of the same
origin -- calculated based off of URI scheme, host name, and port number.

This allows access to the victim's URL as a proxy, and potentially committing
information disclosure of user/victim data right to the attacker's own console.
",130,0,381,0,378,0,294,0,379,0,,,,
46,CVE-2010-0643,2010-02-18T00:00:00.000Z,10,,Chromium,chromium,4,1.99100317522703,18,1,143,0.5,146,0.45,372,0.35,374,0.35,127,0.27,125,0.27,375,0.25,130,0,382,0,378,0,380,0,381,0,"Google Chrome before version 4.0.249.89 defaulted to a direct connection when
there were no proxies available which was different from how other web
browsers handled this issue",155,0,,,,,,,,,,,,
1571,CVE-2008-0005,2008-01-10T00:00:00.000Z,10,,HTTPD,httpd,7,2.25438799386447,392,1,139,0.5,145,0.5,144,0.5,373,0.35,125,0.27,127,0.27,375,0.25,380,0,129,0,424,0,445,0,,,"Upon sending HTML for web pages, the software did not specify a text encoding.

Because browsers can auto-detect encoding, this meant any encode could effectively
be used",,,,,,,,,,,,,,
1120,CVE-2015-1287,2015-07-23T00:59:16.443Z,10,,Chromium,chromium,3,1.85097696128506,89,1,8,0.75,145,0.5,139,0.5,147,0.45,146,0.45,146,0.45,372,0.35,127,0.27,375,0.25,130,0,378,0,381,0,"There was a bug in Blink, the webkit used by Chromium that allowed an external
resource to be loaded as CSS and interpreted with or without a correct MIME 
(media) type",380,0,222,0,382,0,379,0,,,,,,
17,CVE-2009-1413,2009-04-24T15:30:00.297Z,10,Patiently Waiting,Chromium,chromium,2,1.74755299501953,13,1,139,0.5,135,0.5,372,0.35,374,0.35,127,0.27,125,0.27,375,0.25,150,0,381,0,378,0,130,0,380,0,"This is a vulnerability in Chrome 1.0.x where Chrome does not cancel timeout
functions when switching tabs, which makes it possible to execute universal
cross site scripting by using Javascript's setTimeout function to run code on 
a new page after the site has loaded.
",,,,,,,,,,,,,,
136,CVE-2010-3247,2010-09-07T18:00:02.510Z,10,,Chromium,chromium,4,2.00075088574965,31,1,145,0.5,139,0.5,372,0.35,374,0.35,127,0.27,375,0.25,168,0,130,0,380,0,378,0,,,,,"Google Chrome doesn't properly restrict the characters in urls, allowing
remote attackers to visually spoof the url bar using sequences of characters that
are being used for a different purpose than their intended use (specifically homographic sequences)
",,,,,,,,,,,,,,
1086,CVE-2015-1253,2015-05-20T10:59:05.557Z,10,,Chromium,chromium,5,2.08509522745807,26,1,8,0.75,10,0.72,10,0.72,135,0.5,136,0.5,372,0.35,374,0.35,125,0.27,127,0.27,375,0.25,380,0,130,0,Scripting was allowed during DOM tree parsing,378,0,307,0,,,,,,,,,,
1348,CVE-2016-5173,2016-09-25T00:00:00.000Z,10,,Chromium,chromium,6,2.16914090655663,26,1,8,0.75,144,0.5,143,0.5,146,0.45,372,0.35,127,0.27,125,0.27,375,0.25,380,0,378,0,131,0,379,0,"In a regular webpage using Chromium and standard JavaScript, a remote attacker
is able to modify and add functionality to JavaScript's core Object.prototype,
the default prototype that all JS objects inherit properties and methods from.

Modifying Object.prototype is normally not an issue, but Chromium's extensions
subsystem also adds functionality to the Object prototype and does not restrict
access to it",381,0,171,0,382,0,,,,,,,,
1593,CVE-2010-1623,2010-10-04T21:00:00.000Z,10,,HTTPD,httpd,4,1.94455645650207,15,1,10,0.72,10,0.72,143,0.5,146,0.45,147,0.45,147,0.45,147,0.45,373,0.35,127,0.27,125,0.27,375,0.25,129,0,"When HTTPD processes non-SSL (unencrypted) traffic, the way they process that
data was flawed that allowed for memory to fill up",417,0,445,0,380,0,,,,,,,,
880,CVE-2013-6627,2013-11-13T00:00:00.000Z,10,,Chromium,chromium,15,1,8,0.75,139,0.5,146,0.45,374,0.35,372,0.35,126,0.27,125,0.27,380,0,381,0,378,0,130,0,257,0,,,"An attack can access information beyond the length of a buffer storing HTTP
response headers by having web server use pecially crafted informational
HTTP response codes (1xx)",,,,,,,,,,,,,,
885,CVE-2013-6634,2013-12-07T00:55:03.820Z,10,,Chromium,chromium,5,2.02065890610762,16,1,8,0.75,139,0.5,147,0.45,375,0.25,260,0,380,0,130,0,378,0,,,,,,,,,An incorrect URL was used during user authentication in the Gaia subsystem,,,,,,,,,,,,,,
1293,CVE-2016-1707,2016-07-23T19:59:02.543Z,9,,Chromium,chromium,5,2.02324086598089,20,1,8,0.75,139,0.5,147,0.45,372,0.35,374,0.35,127,0.27,125,0.27,375,0.25,378,0,382,0,380,0,351,0,"On iPhones, remote attackers can make malicious web sites look safe by masking the URL with a trusted website like https://google.com.",381,0,,,,,,,,,,,,
960,CVE-2014-3154,2014-06-10T00:00:00.000Z,9,,Chromium,chromium,6,2.09482284730461,34,1,10,0.72,10,0.72,147,0.45,147,0.45,372,0.35,127,0.27,125,0.27,8,0.25,375,0.25,380,0,378,0,248,0,This vulnerability was in Chrome's shutdown sequenece,130,0,,,,,,,,,,,,
834,CVE-2013-2879,2013-07-10T10:55:02.337Z,9,,Chromium,chromium,1,1.66386183636627,12,1,8,0.95,139,0.5,144,0.5,372,0.35,126,0.27,124,0.27,375,0.25,255,0,378,0,379,0,130,0,380,0,"This vulnerability occurs in a user signin process, where a user can be tricked into signing into an attacker's account, via Cross-Site Scripting, effectively phishing",,,,,,,,,,,,,,
573,CVE-2011-3959,2012-02-09T04:10:28.737Z,9,,Chromium,chromium,1,1.39336820854801,15,1,139,0.5,147,0.45,373,0.35,127,0.27,124,0.27,375,0.25,8,0.25,9,0.15,378,0,231,0,,,,,"There was a buffer overflow in the way Google Chrome implemented locale 
information",,,,,,,,,,,,,,
964,CVE-2014-3159,2014-07-16T00:00:00.000Z,9,,Chromium,chromium,5,2.0743072118212,17,1,8,0.75,139,0.5,372,0.35,127,0.27,124,0.27,375,0.25,379,0,279,0,132,0,380,0,130,0,381,0,"This vulnerability allows for a malicious site to spoof the URL of another
site through phishing attacks because the origin of requests were not properly 
checked.

A malicious person could write a short script",378,0,382,0,,,,,,,,,,
233,CVE-2011-1112,2011-03-01T23:00:03.347Z,9,,Chromium,chromium,20,1,139,0.5,135,0.5,373,0.35,374,0.35,127,0.27,125,0.27,8,0.25,378,0,196,0,,,,,,,,,"
When displaying a type of graphic known as an SVG, a value of infinity could
be used as one of the attributes, causing a write to an invalid memory location.
This would result in a segmentation fault.
",,,,,,,,,,,,,,
570,CVE-2011-3956,2012-02-09T04:10:28.580Z,9,,Chromium,chromium,4,1.98821200679996,62,1,136,0.5,139,0.5,146,0.45,372,0.35,374,0.35,127,0.27,125,0.27,375,0.25,382,0,378,0,380,0,379,0,"The extension implementation does not properly handle sandboxed origins, which may allow remote attackers to bypass the same origin policy via a crafted extension",171,0,381,0,130,0,,,,,,,,
1050,CVE-2015-1216,2015-03-08T00:00:00.000Z,9,,Chromium,chromium,7,2.21340732590141,34,1,8,0.75,144,0.5,147,0.45,373,0.35,127,0.27,125,0.27,375,0.25,380,0,130,0,378,0,181,0,,,"An implementation for custom bindings related to windows in Google's V8 
JavaScript engine left a potential vulnerability where an attacker could trigger
a denial of service attack or cause other issues due to an entity not being freed
properly.
",,,,,,,,,,,,,,
1540,CVE-2004-0493,2004-07-01T00:00:00.000Z,9,,HTTPD,httpd,5,2.03522798442438,23,1,139,0.5,125,0.27,127,0.27,375,0.25,380,0,129,0,445,0,,,,,,,,,,,"A component involved in parsing HTTP headers can be used for a remote denial of
service attack by triggering a memory leak by using long header lines with a large
amount of space or tab characters.
",,,,,,,,,,,,,,
797,CVE-2013-2839,2013-05-22T13:29:55.997Z,9,,Chromium,chromium,6,2.17284906388199,71,1,8,0.75,139,0.5,373,0.35,374,0.35,126,0.27,125,0.27,375,0.25,380,0,246,0,130,0,378,0,,,"When a user attempts to copy and paste an image via dragging, the image is typecasted into a HTMLImageElement without
proper checks being performed to make sure that the cast is legal",,,,,,,,,,,,,,
935,CVE-2014-1723,2014-04-09T10:57:51.277Z,9,,Chromium,chromium,6,2.17203985487252,20,1,8,0.75,145,0.5,139,0.5,146,0.45,374,0.35,372,0.35,125,0.27,127,0.27,375,0.25,153,0,380,0,130,0,This vulnerability is actually a really cool one,378,0,,,,,,,,,,,,
1342,CVE-2016-5165,2016-09-11T10:59:22.117Z,8,,Chromium,chromium,6,2.0892140273359,12,1,140,0.5,144,0.5,139,0.5,374,0.35,372,0.35,127,0.27,125,0.27,375,0.25,8,0.25,240,0,378,0,130,0,"This vulnerability allows an attacker to send a specially crafted url that
makes use of the settings parameter in the chrome devtools to inject
malicous javascript",380,0,131,0,379,0,381,0,,,,,,
950,CVE-2014-1741,2014-05-14T11:13:06.007Z,8,,Chromium,chromium,7,2.21749649020111,65,1,8,0.75,138,0.5,147,0.45,146,0.45,372,0.35,374,0.35,126,0.27,125,0.27,375,0.25,378,0,130,0,381,0,There are a couple cases in lower level code that handles rendering characters where an offset was not handled in a overflow-sensitive manner,380,0,277,0,,,,,,,,,,
68,CVE-2010-1231,2010-03-17T00:00:00.000Z,8,,Chromium,chromium,5,2.02707011025872,23,1,135,0.5,139,0.5,145,0.5,146,0.45,372,0.35,374,0.35,125,0.27,127,0.27,375,0.25,130,0,378,0,380,0,"The vulnerability was in Chrome's SafeBrowsingResourceHandler which controls a
chain of ResourceHandlers that, when browsing in safe mode, do processing 
on a url or a resource and decide whether it can be loaded or not.

The implementation of SafeBrowsingResourceHandler simultaneously did protective
parsing of a url and retrieved the resource's HTTP headers",160,0,,,,,,,,,,,,
145,CVE-2010-3256,2010-09-07T18:00:02.917Z,8,,Chromium,chromium,5,2.07488278525626,35,1,140,0.5,147,0.45,147,0.45,374,0.35,372,0.35,126,0.27,125,0.27,375,0.25,381,0,380,0,378,0,174,0,"Google Chrome did not properly limit the number of stored autocomplete
entries, which has unspecified impact and attack vectors",130,0,,,,,,,,,,,,
447,CVE-2011-3045,2012-03-22T16:55:01.160Z,8,,Chromium,chromium,5,2.08664168162589,45,1,145,0.5,139,0.5,147,0.45,147,0.45,374,0.35,373,0.35,127,0.27,125,0.27,375,0.25,129,0,380,0,223,0,"Lack of a controlled space for use in an added image library allowed for certain
PNG images to expand to 3 or 4 Gigabytes in size, triggering a 32-bit signed
integer overflow leading to a Denial of Service.
",378,0,,,,,,,,,,,,
1168,CVE-2015-6768,2015-12-06T01:59:05.137Z,8,,Chromium,chromium,93,1,8,0.75,147,0.45,373,0.35,374,0.35,125,0.27,127,0.27,378,0,381,0,382,0,130,0,380,0,321,0,379,0,"When stopping an HTML frame and its children, there is a point where
a loader for the frame is stopped",,,,,,,,,,,,,,
1838,CVE-2012-4387,2012-10-09T00:00:00.000Z,8,Long Parameter Names DoS Opportunity,Struts,struts,6,2.11230705056973,29,1,145,0.5,139,0.5,374,0.35,372,0.35,125,0.27,377,0.25,375,0.25,527,0,132,0,528,0,,,,,"Request parameters handled by Struts 2 are effectively treated as OGNL expressions,
which may take some time to process if they're sufficiently complex",,,,,,,,,,,,,,
1209,CVE-2016-1623,2016-02-14T02:59:01.130Z,8,,Chromium,chromium,97,1,8,0.75,143,0.5,147,0.45,372,0.35,374,0.35,125,0.27,127,0.27,381,0,378,0,379,0,382,0,130,0,380,0,"Due to the implementation of the HTML parser, an unapproved frame component 
could attatch itself to the page at the same time an approved component was detatching.

This allowed remote attackers to piggyback off the current state of the approved frame 
to execute commands remotely on the system.
",154,0,,,,,,,,,,,,
1102,CVE-2015-1269,2015-06-26T14:59:03.923Z,8,,Chromium,chromium,4,1.95152883026,24,1,136,0.5,146,0.45,374,0.35,372,0.35,125,0.27,126,0.27,8,0.25,375,0.25,380,0,378,0,311,0,130,0,Attackers can bypass HSTS restrictions due to a lack of canonicalizing DNS hostnames before comparing them to the HSTS list,,,,,,,,,,,,,,
141,CVE-2010-3252,2010-09-07T00:00:00.000Z,8,,Chromium,chromium,4,1.99097062001964,34,1,373,0.35,127,0.27,125,0.27,8,0.25,375,0.25,380,0,173,0,378,0,130,0,,,,,,,"If a program opened a notification through Chrome and then terminated before
an actively running notification closed, then the notification would try to
detach from the no-longer-existent program it came from and cause a corruption
of memory.
",,,,,,,,,,,,,,
1099,CVE-2015-1266,2015-06-26T14:59:00.063Z,8,,Chromium,chromium,6,2.10356975010444,20,1,8,0.75,139,0.5,145,0.5,146,0.45,372,0.35,374,0.35,375,0.25,380,0,382,0,379,0,378,0,130,0,"Attackers were able to bypass restrictions in chrome to access GUI components
that should have only been accessible with certain permissions or through a proper
route",381,0,310,0,,,,,,,,,,
59,CVE-2010-0660,2010-01-25T00:00:00.000Z,8,,Chromium,chromium,5,2.04618658441875,18,1,10,0.72,10,0.72,143,0.5,147,0.45,374,0.35,372,0.35,125,0.27,126,0.27,375,0.25,382,0,130,0,381,0,"Chromium sends an HTTPS URL in the Referer header to an HTTP site when redirecting
from a secure HTTPS site to an unsecure HTTP site",156,0,378,0,380,0,,,,,,,,
1095,CVE-2015-1262,2015-05-20T10:59:14.370Z,8,,Chromium,chromium,2,1.77433327788792,87,1,139,0.5,147,0.45,374,0.35,372,0.35,124,0.27,126,0.27,375,0.25,8,0.25,130,0,380,0,309,0,378,0,"A width field, m_totalWidth, was not initialized, but was used in other areas of the code",,,,,,,,,,,,,,
1815,CVE-2017-12615,2017-09-19T00:00:00.000Z,8,,Tomcat,tomcat,451,1,136,0.5,375,0.25,469,0,488,0,,,,,,,,,,,,,,,,,,,"By adding a '/' onto the end of the file extension for apache tomcat, you can bypass the 
file extension checks; therefore leaving a gap to exploit the vulnerability - the server would
run the code in the file that was appended.
",,,,,,,,,,,,,,
878,CVE-2013-6625,2013-11-13T15:55:04.330Z,8,,Chromium,chromium,3,1.9242932739652,34,1,8,0.75,145,0.5,146,0.45,374,0.35,372,0.35,127,0.27,124,0.27,375,0.25,222,0,378,0,382,0,380,0,This vulnerability is an example of a use-after-free bug,130,0,,,,,,,,,,,,
998,CVE-2014-3803,2014-05-21T11:14:10.113Z,8,,Chromium,chromium,4,1.99911168584778,80,1,135,0.5,143,0.5,147,0.45,147,0.45,372,0.35,127,0.27,125,0.27,375,0.25,380,0,248,0,130,0,379,0,"Blink, the rendering engine used by Chromium, has a feature which
allows for attackers to enable microphone access and obtain speech-recognition
text from users",378,0,382,0,,,,,,,,,,
346,CVE-2011-2783,2011-08-03T00:55:01.737Z,8,,Chromium,chromium,2,1.794126343917,28,1,10,0.72,10,0.72,135,0.5,372,0.35,374,0.35,126,0.27,125,0.27,375,0.25,171,0,381,0,380,0,379,0,"In Chrome's developer mode, when using the extensions interface at
chrome://extensions, it does not prompt the user with a dialogue box when
loading an unpacked extension (an extension that is not available through Chrome's
store) that contains an NPAPI (Netscape Plugin Application Programming Interface,
an interface that allows for plugins such as browser extensions to be developed 
directly for web browsers) plugin like it does with other extensions",130,0,378,0,382,0,,,,,,,,
1473,CVE-2017-5109,2017-04-11T00:00:00.000Z,7,,Chromium,chromium,20,1,139,0.5,146,0.45,373,0.35,127,0.27,125,0.27,380,0,379,0,130,0,378,0,371,0,,,,,,,UI spoofing in browser,,,,,,,,,,,,,,
758,CVE-2013-0891,2013-02-23T21:55:01.517Z,7,,Chromium,chromium,1,1.44954332310539,69,1,135,0.5,139,0.5,372,0.35,126,0.27,125,0.27,375,0.25,378,0,154,0,130,0,380,0,,,,,"An integer overflow in Google Chrome in blob url request leads to a buffer overflow
allowing an attacker to control a specific function of what bytes to read",,,,,,,,,,,,,,
1275,CVE-2016-1689,2016-06-05T00:00:00.000Z,7,,Chromium,chromium,2,1.73108692637156,49,1,139,0.5,146,0.45,372,0.35,374,0.35,125,0.27,126,0.27,8,0.25,375,0.25,347,0,380,0,130,0,378,0,"A Heap Buffer Overflow vulnerability was found in Google Chrome's implementation of
Media Capture from DOM elements",,,,,,,,,,,,,,
886,CVE-2013-6635,2013-12-07T00:55:03.850Z,7,,Chromium,chromium,7,2.23784642867575,34,1,8,0.75,374,0.35,372,0.35,127,0.27,125,0.27,375,0.25,130,0,378,0,261,0,380,0,,,,,"This vulenrability is located in the editing implmentation of Blink
(the underlying web browser engine)",,,,,,,,,,,,,,
589,CVE-2011-5319,2015-03-09T00:59:00.153Z,7,,Chromium,chromium,4,1.98009201390901,42,1,139,0.5,374,0.35,373,0.35,125,0.27,126,0.27,375,0.25,130,0,381,0,378,0,380,0,234,0,,,The application does not restrict access to accelerometer data at high rates,,,,,,,,,,,,,,
161,CVE-2010-4036,2010-10-21T19:00:04.770Z,7,,Chromium,chromium,3,1.9207506219313,38,1,146,0.45,374,0.35,373,0.35,127,0.27,375,0.25,380,0,130,0,381,0,382,0,378,0,179,0,,,This is a url spoofing related vulnerability that occurs when the user navigates back but the current page interrupts the action,,,,,,,,,,,,,,
681,CVE-2012-5108,2012-10-09T11:13:10.190Z,7,,Chromium,chromium,4,1.97904571366437,34,1,8,0.75,146,0.45,372,0.35,374,0.35,125,0.27,127,0.27,375,0.25,380,0,235,0,378,0,130,0,,,"A design problem in the way Chromium handled multi-threaded audio output
use of audio output devices resulted in a race condition",,,,,,,,,,,,,,
135,CVE-2010-3246,2010-09-07T18:00:02.463Z,7,,Chromium,chromium,143,0.5,372,0.35,374,0.35,127,0.27,125,0.27,375,0.25,380,0,130,0,379,0,170,0,381,0,382,0,378,0,,,Google Chrome's pop-up blocker could be bypassed if a form submit opened window _blank; this would allow a site to gain the ability to open X number of chrome tabs.,,,,,,,,,,,,,,
1085,CVE-2015-1252,2015-05-20T10:59:04.370Z,7,,Chromium,chromium,6,2.09012185200375,67,1,8,0.95,145,0.5,147,0.45,372,0.35,374,0.35,375,0.25,130,0,381,0,378,0,380,0,306,0,382,0,"The vulnerability was in Chromium's common utility functionality, specifically
a new implementation of a ""PartialCircularBuffer"" which was basically a buffer
that could wrap around *n number of times to have a continuous write of data.

The implementation, which was in C++, didn't handle the wrap around buffer write
case for large amounts of data properly",,,,,,,,,,,,,,
1766,CVE-2011-3376,2011-11-08T00:00:00.000Z,7,Permissive Manager,Tomcat,tomcat,26,1,136,0.5,372,0.35,125,0.27,375,0.25,477,0,488,0,,,,,,,,,,,,,,,"Tomcat includes a component that provides administrative functions for
web applications such as deployment, reloading, and starting/stopping an
application called Manager",,,,,,,,,,,,,,
1770,CVE-2012-0022,2012-01-17T00:00:00.000Z,7,Parameter DOS,Tomcat,tomcat,6,2.11030955303688,455,1,139,0.5,146,0.45,147,0.45,373,0.35,125,0.27,375,0.25,132,0,488,0,476,0,,,,,,,Apache Tomcat (An open source implementation of the Java Servlet) 5.5.x did not use a proper approach for handling a large number of parameters,,,,,,,,,,,,,,
